Last updated 07/11/2016,,,,,,,
,,,,,,,
,,,,,,,
,,,,Gold price - Key Currencies,,,
,,,,,,,
,,,,National Currency Unit per troy ounce,,,
,,,,USD,EUR,GBP,JPY
,,,,,,,
,,,Name,US dollar,Euro,Pound sterling,Japanese yen
,,,3/29/13,1598.25,1244.64643,1052.55374,150267.4474
,,,4/30/13,1469,1114.22982,943.84517,143095.273
,,,5/31/13,1394.5,1076.00344,919.79425,140809.6247
,,,6/28/13,1192,917.02924,785.9169,118407.3098
,,,7/31/13,1314.5,989.94663,867.05619,129287.6419
,,,8/30/13,1394.75,1057.75091,901.64211,136845.8826
,,,9/30/13,1326.5,979.94371,819.13101,130162.8125
,,,10/31/13,1324,973.88752,824.10068,129897.6206
,,,11/29/13,1253,920.27509,764.93432,128263.3328
,,,12/31/13,1204.5,874.12477,727.24528,126598.9674
,,,1/31/14,1251,927.66313,761.20367,127583.2167
,,,2/28/14,1326.5,960.43199,791.53866,135389.2055
,,,3/31/14,1291.75,937.23983,774.82551,133030.8548
,,,4/30/14,1288.5,929.28493,763.08075,131620.2671
,,,5/30/14,1250.5,916.41955,745.52161,127232.1164
,,,6/30/14,1315,960.45048,769.0736,133216.0654
,,,7/31/14,1285.25,960.57599,761.2691,132168.6728
,,,8/29/14,1285.75,976.12382,774.19867,133570.1317
,,,9/30/14,1216.5,962.99277,750.39367,133443.9578
,,,10/31/14,1164.25,929.24475,727.72461,130518.2413
,,,11/28/14,1182.75,948.74286,755.24429,140374.6809
,,,12/31/14,1206,996.65333,773.44883,144593.3568
,,,1/30/15,1260.25,1116.79796,839.10396,148035.2616
,,,2/27/15,1214,1082.33432,785.55731,145127.6278
,,,3/31/15,1187,1105.21479,799.59586,142350.9605
,,,4/30/15,1180.25,1053.27813,768.017,141240.5153
,,,5/29/15,1191.4,1086.69696,780.75973,147846.7542
,,,6/30/15,1171,1050.97862,744.5796,143289.4036
,,,7/31/15,1098.4,994.1622,703.87726,136086.2438
,,,8/31/15,1135,1012.941,737.9718,137544.9722
,,,9/30/15,1114,997.98514,735.43512,133418.2093
,,,10/30/15,1142.35,1034.12877,739.67262,137853.0546
,,,11/30/15,1061.9,1005.44473,705.44091,130911.0187
,,,12/31/15,1060,975.7895,719.18048,127512.6981
,,,1/29/16,1111.8,1027.4945,783.78558,134600.0291
,,,2/29/16,1234.9,1136.53322,886.12251,139389.3265
,,,3/31/16,1237,1085.5169,860.64164,139032.6014
,,,4/29/16,1285.65,1122.4957,877.63719,137558.105
,,,5/31/16,1212.1,1088.79418,832.77234,134427.9328
,,,6/30/16,1320.75,1188.84792,987.994,135495.7377
,,,7/29/16,1342,1200.08955,1010.77076,137534.8503
,,,8/31/16,1309.25,1175.53365,999.65713,135422.2706
,,,9/30/16,1322.5,1176.81152,1018.09101,133922.9617
